deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
11123,Medium,2023-08-25,3417,Dry Bulk,16.89801505817933,There is an audible alarm for two way communication between the steering gear room and the navigation bridge.,There is a dedicated battery that is not sealed and marked for emergency use.,The alarm is weak.,Testing and maintenance are not done well.,"After cleaning the speakers, they were found to be in normal working condition.",Crew was briefed and trained on determination of integrity of performance of equipment during every test and indicate on remarks in the report to provide better guidance on considering replacement due to deteriorated equipment.,No
1123,Low,2022-11-16,541,Dry Bulk,11.460643394934976,The form 2 and 3 of the CSR document are missing.,The valid Cargo Ship Safety Construction Certificate issued to the vessel is valid beyond the validity of the DoC.,"When heaving up the port side anchor, the windlass mooring winch gear sheared due to heavy weather.",The company's certificate was not properly managed by the master.,Send Form 2 and Form 3 to the ship manager.,Training was carried out.,No
11117,Medium,2023-07-03,1669,General Cargo,13.752224503764545,The lifebuoy on the port side is stuck by rust.,There is water in the weathertight condition.,"Failure to follow the procedure, Fleet ops, technical procedures, machinery general, 4.4.1 steering gear, and makers instructions.",The pin was stuck and rusty.,Outworn lifebuoys were replaced with new lifebuoys.,"To be tested for proper function after installation, any safety & emergency equipment to be ready for immediate use.",No
7105,Low,2023-10-31,2318,Dry Bulk,7.83025325119781,The galley fire door is not closing correctly.,It's not like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it's like it,There is a missing log in the official logbook.,The door mechanism needed to be adjusted.,The door mechanism was adjusted by the PSC inspector.,There is an additional check point for the verification of the self-closing fire doors in the galley compartment.,No
7115,Low,2024-03-05,1134,Dry Bulk,12.260095824777547,The EGCS space is not able to close the fire damper.,The cargo holds line 3 has a smoke sampling fire detection system.,Not complying with load line regulation.,A hand wheel and steel wire connection were used to operate the fire damper.,Grease the damper gear and make sure it's free of stuck parts.,The correct checking procedure was included in his standing order to ask all engineers and ratings to do the proper testing.,No
18306,Low,2022-09-09,1160,Dry Bulk,12.854209445585216,There are boxes of bottled water in the Mess boy's Cabin.,There are boxes of bottled water in the Mess boy's Cabin.,The crew kept excessive mineral drinking water in his cabin.,Section 3.1 and 3.2 are not fully understood.,The crew moved the mineral water packages to the storeroom.,Ensuring clean and tidy condition of crew accommodation and provision storeroom is a priority for shipboard senior management.,No
1308,High,2022-12-14,2135,Dry Bulk,18.702258726899384,The hours of rest for C/O and 2/0 did not comply with the drill record.,The tank cleaning operations room sample point failed while testing the fixed gas detection system.,Substandard acts.,"The records of the Chief Officer and Second Officer were recorded as rest instead of work, as a result of inadequate supervision Investigation carried out with the assistance of the Master.",The work and rest hours records that were found with errors were corrected to show the actual working status of the Chief Officer and Second Officer.,"As a preventive measure, a training session was carried out on the same day (14th) by the Master to all officers and crew, in the course of which, he stressed the importance to meticulously record the hours of work in strict compliance with the actual routines and onboard activities/ drills etc.",No
18299,Medium,2024-03-05,467,Dry Bulk,6.012320328542095,It is not possible for crew members to take paid annual leave within a year if they are on board for more than 11 months.,The rope was soaked in paint and found on the starboard side.,Clarifications were offered to the inspector.,"As per the PSC officer report, repatriation had been arranged for all of them.",The crew members that had SEA for a year were already returned to their home countries.,The company's Management Review will discuss this deficiency.,No
7106,Medium,2024-01-04,3050,Dry Bulk,12.005475701574264,The audible fire alarm can't be sounded in the service space within 2 minutes when the fire detection sensor is not acknowledged.,The D-2 standard is mandatory for the ship.,The Pre-Alarm for No.4 Cargo hold was activated due to malfunction of the sensor.,The ship's crew did not know how to use the fire alarm system.,"In order to better understand the crew, additional training was carried out by the master and the Supremo.",Instructions have been posted on the fire alarm panel and will be discussed in the upcoming safety meeting.,Yes
1139,Medium,2023-06-15,869,Dry Bulk,4.03832991101985,Rescue boat was not launched and maneuvered.,The design of the equipment will be approved by the administration.,There was an inadequate check after the blackout test.,Master didn't seek proper opportunity to launch and maneuver the rescue boat.,Master will seek a proper opportunity to conduct the drill to correct the deficiency on her next port in Australia.,Regulations and provisions will be implemented and complied with.,No
11113,Low,2023-06-01,3378,Dry Bulk,6.327173169062286,The limit switch on the rescue boat malfunctioned.,The last passage plan wasn't amended with anchor position and relevant berths.,The limit switch was stuck by frozen grease when the Rescue Boat was tested in the monthly drill.,Acts that are unsafe.,The master confirmed that the limit switch was free and grease free.,The officer in charge of LSA should conduct weekly testing to make sure the vessel is in working condition.,No
